00000000|ALLS|  Allstate Life Insurance Co of New York
00008431|AMGE| American General Life Insurance Company
00086547|AXAA|    AXA Equitable Life Insurance Company
00157721|BANN|           Banner Life Insurance Company
00194743|CETN|                 Centrian Life Insurance
00202288|CINN|       Cincinnati Life Insurance Company
00306159|GRAN|           Grange Life Insurance Company
00308718|LNLI|    Lincoln Life & Annuity Company of NY
00316702|LNNA| Lincoln National Life Insurance Company
00402803|NORA|   North American Co for Life and Health
00469552|PROT|       Protective Life Insurance Company
00563353|PRUC|            Pruco Life Insurance Company
00630815|PRUJ|   Pruco Life Insurance Co of New Jersey
00646228|RELL|        ReliaStar Life Insurance Company
00698130|RELR|          ReliaStar Life Insurance of NY
00709059|SAGI|          Sagicor Life Insurance Company
00759251|SAVE|    Savings Bank Life Insurance Co of MA
00842956|TRAF|Transamerica Financial Life Insurance Co
00864408|TRAN|     Transamerica Life Insurance Company
00988791|UTST|United States Life Ins in the City of NY
00997991|WILP|    William Penn Life Insurance Co of NY
